task	run	generations	stats_blocks	validation_points	validation_first	validation_last	validation_max	mean_fitness_first	mean_fitness_last	mean_fitness_max	std_nonzero_blocks	std_nonzero_rate	lora_update_nonzero_blocks	lora_update_nonzero_rate	nonlora_update_nonzero_blocks	source_log
Countdown	countdownn_eggroll_full_lr=1.0_sigma=1.00e-03_bs=32	32	220	22	0.009999999	0.009999999	0.009999999	0.009999999776482582	0.009999999776482582	0.009999999776482582	1	0.004545	1	0.004545	0	/home/zhan_shaoji/code/Replay_EGGROLL/HyperscaleES/experiments/paper_repro/countdownn_0.1B.log
GSM8K	gsm8k_eggroll_full_lr=1.0_sigma=1.00e-03_bs=32	32	500	50	0.0	0.00078125	0.00078125	0.0	0.0	0.03125	2	0.004000	2	0.004000	0	/home/zhan_shaoji/code/Replay_EGGROLL/HyperscaleES/experiments/paper_repro/gsm8k_0.1B.log
